time,Label1,Label2
2022/7/18 2:40,10277.715093613277,9309.105212711325
2022/7/18 2:42,10297.708783059188,9423.129296102792
2022/7/18 2:44,10305.087200214974,9483.911191755647
2022/7/18 2:46,10392.180775644054,9332.600185186137
2022/7/18 2:48,10324.405182105927,9341.154754390765
2022/7/18 2:50,10354.175265256632,9299.2977971056
2022/7/18 2:52,10406.995797025698,9241.854836792949
2022/7/18 2:54,10564.672698373652,9288.24105239896
2022/7/18 2:56,10689.331528022576,9337.718637961536
2022/7/18 2:58,10870.137965600961,9331.374486416673
2022/7/18 3:00,10863.30477975137,9469.224125982444
2022/7/18 3:02,10915.193200256394,9303.169859036192
2022/7/18 3:04,10792.277958999059,9311.275108256941
2022/7/18 3:06,10871.0009784842,9396.739357906512
2022/7/18 3:08,10955.012821833912,9247.133316596555
2022/7/18 3:10,10882.137296009781,9175.415884810724
2022/7/18 3:12,10669.57248049475,9297.41711045033
2022/7/18 3:14,10587.813900897007,9101.557097781537
2022/7/18 3:16,10527.344554837979,9077.00715679971
2022/7/18 3:18,10467.071431969489,8971.306087154273
2022/7/18 3:20,10503.2824099033,9071.020586060426
2022/7/18 3:22,10421.316875174653,9029.589053711767
2022/7/18 3:24,10522.249292589247,8990.16927606367
2022/7/18 3:26,10325.92688555048,9043.72911969396
2022/7/18 3:28,10495.793697767524,8880.972536130937
2022/7/18 3:30,10523.470231508652,8881.725812632236
2022/7/18 3:32,10727.036916036574,8833.372144022152
2022/7/18 3:34,10622.105292645618,8817.622469099979
2022/7/18 3:36,10865.703989289723,8859.894521291608
2022/7/18 3:38,10755.407537380546,8663.05545136299
2022/7/18 3:40,10695.989319456661,8842.012453737438
2022/7/18 3:42,10755.416171986028,8772.309731446578
2022/7/18 3:44,10836.872422207367,8861.520819077357
2022/7/18 3:46,10964.373992620946,8857.135469761397
2022/7/18 3:48,11317.486462081017,9034.181329701407
2022/7/18 3:50,10912.770716826364,8973.145202392116
2022/7/18 3:52,10935.650485283524,8833.594030390175
2022/7/18 3:54,10876.503680346043,8832.777301164298
2022/7/18 3:56,11090.009137508441,8790.993386120354
2022/7/18 3:58,11109.124310912324,8723.399125873208
2022/7/18 4:00,11115.615677564876,8793.766496706672
2022/7/18 4:02,10965.288218991976,8754.215195586845
2022/7/18 4:04,11047.311992922456,8760.570682824306
2022/7/18 4:06,11002.28494308757,8830.024129704128
2022/7/18 4:08,10984.218556757582,8736.887232069324
2022/7/18 4:10,10932.001889644607,8809.85896332933
2022/7/18 4:12,10920.554104183002,8645.35202286741
2022/7/18 4:14,11394.267973401598,8902.272554653751
2022/7/18 4:16,11032.15938932519,8726.300278927032
2022/7/18 4:18,10859.17820121232,8784.467521017003
2022/7/18 4:20,10841.644376243225,8725.96018413371
2022/7/18 4:22,11236.618075654993,9024.687960335852
2022/7/18 4:24,11138.125775362474,8898.032335021311
